YEAR,UNITID,CIPCODE,MAJORNUM,AWLEVEL,CTOTALT,CTOTALM,CTOTALW,CAIANT,CAIANM,CAIANW,CASIAT,CASIAM,CASIAW,CBKAAT,CBKAAM,CBKAAW,CHISPT,CHISPM,CHISPW,CNHPIT,CNHPIM,CNHPIW,CWHITT,CWHITM,CWHITW,C2MORT,C2MORM,C2MORW,CUNKNT,CUNKNM,CUNKNW,CNRALT,CNRALM,CNRALW  
2020,194824,Environmental Science,1,Bachelor's degree,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2020,194824,Architecture,1,Bachelor's degree,42,19,23,0,0,0,3,2,1,2,0,2,7,2,5,0,0,0,18,8,10,2,1,1,1,0,1,9,6,3
2020,194824,Architecture,1,Master's degree,12,7,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,5,3,1,1,0,0,0,0,2,1,1
2020,194824,Architectural and Building Sciences/Technology,1,Bachelor's degree,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2020,194824,Architectural and Building Sciences/Technology,1,Master's degree,13,6,7,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,7,3,4,1,0,1,1,1,0,2,0,2
2020,194824,"Architecture and Related Services, Other",1,Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,"Architecture and Related Services, Other",1,Master's degree,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,4,2,2
2020,194824,"Communication, General",1,Bachelor's degree,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2020,194824,Speech Communication and Rhetoric,1,Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,Speech Communication and Rhetoric,1,Master's degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2020,194824,Digital Communication and Media/Multimedia,1,Bachelor's degree,7,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,1,1,0
2020,194824,Technical and Scientific Communication,1,Master's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,"Computer and Information Sciences, General",1,Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,"Computer and Information Sciences, General",1,Master's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,Information Technology,1,Bachelor's degree,24,20,4,0,0,0,1,1,0,0,0,0,5,3,2,0,0,0,11,10,1,3,2,1,0,0,0,4,4,0
2020,194824,Information Technology,1,Master's degree,25,15,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,3,2,0,0,0,1,1,0,18,11,7
2020,194824,Computer Science,1,Bachelor's degree,255,210,45,0,0,0,41,31,10,7,5,2,19,12,7,0,0,0,118,106,12,22,17,5,5,5,0,43,34,9
2020,194824,Computer Science,1,Master's degree,26,23,3,0,0,0,6,4,2,1,1,0,2,2,0,0,0,0,11,11,0,0,0,0,0,0,0,6,5,1
2020,194824,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",1,Bachelor's degree,101,83,18,0,0,0,9,7,2,3,3,0,15,11,4,0,0,0,65,54,11,4,4,0,0,0,0,5,4,1
2020,194824,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",1,Master's degree,11,8,3,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,6,3,3,0,0,0,1,1,0,1,1,0
2020,194824,Bioengineering and Biomedical Engineering,1,Bachelor's degree,102,48,54,0,0,0,20,10,10,1,1,0,10,8,2,1,0,1,56,21,35,9,4,5,0,0,0,5,4,1
2020,194824,Bioengineering and Biomedical Engineering,1,Master's degree,14,4,10,0,0,0,1,0,1,0,0,0,3,1,2,0,0,0,9,3,6,0,0,0,0,0,0,1,0,1
2020,194824,Chemical Engineering,1,Bachelor's degree,109,56,53,0,0,0,17,7,10,5,4,1,12,6,6,0,0,0,59,31,28,9,4,5,0,0,0,7,4,3
2020,194824,Chemical Engineering,1,Master's degree,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
2020,194824,"Civil Engineering, General",1,Bachelor's degree,70,45,25,0,0,0,3,1,2,4,3,1,7,5,2,0,0,0,47,30,17,3,2,1,2,2,0,4,2,2
2020,194824,"Civil Engineering, General",1,Master's degree,14,7,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13,7,6,0,0,0,0,0,0,0,0,0
2020,194824,Transportation and Highway Engineering,1,Master's degree,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2020,194824,Electrical and Electronics Engineering,1,Bachelor's degree,91,68,23,0,0,0,10,6,4,3,3,0,8,7,1,0,0,0,37,27,10,7,5,2,2,1,1,24,19,5
2020,194824,Electrical and Electronics Engineering,1,Master's degree,17,15,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,10,10,0
2020,194824,Engineering Physics/Applied Physics,1,Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,Engineering Physics/Applied Physics,1,Master's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,Engineering Science,1,Bachelor's degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020,194824,Engineering Science,1,Master's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194824,Environmental/Environmental Health Engineering,1,Bachelor's degree,14,5,9,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,12,5,7,0,0,0,0,0,0,0,0,0
2020,194824,Environmental/Environmental Health Engineering,1,Master's degree,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020,194824,Materials Engineering,1,Bachelor's degree,26,15,11,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,11,8,3,4,2,2,0,0,0,7,5,2
2020,194824,Materials Engineering,1,Master's degree,9,5,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1,4,2,2,0,0,0,1,0,1
2020,194824,Mechanical Engineering,1,Bachelor's degree,233,175,58,0,0,0,19,14,5,7,6,1,31,26,5,0,0,0,137,98,39,11,8,3,6,3,3,22,20,2
2020,194824,Mechanical Engineering,1,Master's degree,33,22,11,0,0,0,4,2,2,2,2,0,2,2,0,0,0,0,17,11,6,3,2,1,0,0,0,5,3,2
2020,194824,Nuclear Engineering,1,Bachelor's degree,30,23,7,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,21,15,6,3,3,0,0,0,0,3,2,1
2020,194824,Nuclear Engineering,1,Master's degree,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2020,194824,Systems Engineering,1,Master's degree,6,3,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
2020,194824,Industrial Engineering,1,Bachelor's degree,54,31,23,0,0,0,6,3,3,3,3,0,9,4,5,0,0,0,28,17,11,2,1,1,1,0,1,5,3,2
